geoid,total_power_kw
04013,2882.0
06001,114857.0
06073,1009.6
06085,17809.0
06099,243.0
08013,1896.03
08059,6613.6
12001,583.0
16011,1432.0
16019,1432.0
16023,1432.0
17019,724.0
17043,42445.0
18105,390.4
18157,1137.6
22083,350.0
24025,2534.36
24033,835.0
25013,2278.0
25017,1436.0
28045,6100.0
28105,1760.0
28109,1350.0
28149,9877.0
35001,7931.0
35028,7946.0
35049,863.5
36055,409.0
36061,2073.31
36083,512.0
39049,83.0
39057​,16761.0
39113​,5511.0
39113​​,6750.0
41013​,350.0
45007,1173.0
45077,1173.0
47001,24607.0
47145,309.0
48029,4530.0
48041,538.0
48201,3826.0
48453,7082.88
49035,6462.0
51107,777.0
51117,4530.0
51153,1150.0
51760,7290.0
53005,1384.0
53025,4530.0
54049,914.0
54061,2020.0
